Nro;Pvm;X1_mitattu;X2_mitattu;Y1_mitattu;Y2_mitattu;X;Y;Sijainti;X1_ero;X2_ero;Y1_ero;Y2_ero;X1-X2;Y1-Y2;X_KA;Y_KA;X_KA_ero;Y_KA_ero;X_luokka;Y_luokka
1;21.2.;3571;3571;625;625;3570;626;2;1;1;-1;-1;0;0;3571;625;1;-1; 3000-3999; 0-999
2;21.2.;2577;2577;2610;2610;2576;2609;3;1;1;1;1;0;0;2577;2610;1;1; 2000-2999; 2000-2999
3;21.2.;2577;2577;2610;2610;2576;2609;2;1;1;1;1;0;0;2577;2610;1;1; 2000-2999; 2000-2999
4;21.2.;2577;2577;2610;2610;2576;2609;3;1;1;1;1;0;0;2577;2610;1;1; 2000-2999; 2000-2999
5;21.2.;1499;1499;2401;2401;1500;2400;3;-1;-1;1;1;0;0;1499;2401;-1;1; 1000-1999; 2000-2999
6;21.2.;1467;1467;2246;2246;1466;2245;2;1;1;1;1;0;0;1467;2246;1;1; 1000-1999; 2000-2999
7;21.2.;8471;8471;2612;2610;8471;2609;2;0;0;3;1;0;2;8471;2611;0;2; 8000-8999; 2000-2999
8;21.2.;4456;4456;2154;2155;4454;2153;3;2;2;1;2;0;-1;4456;2154.5;2;1.5; 4000-4999; 2000-2999
9;21.2.;1502;1502;1897;1900;1500;1900;2;2;2;-3;0;0;-3;1502;1898.5;2;-1.5; 1000-1999; 1000-1999
10;21.2.;8472;8472;2610;2610;8471;2609;3;1;1;1;1;0;0;8472;2610;1;1; 8000-8999; 2000-2999
11;22.2.;3864;3864;557;557;3866;556;3;-2;-2;1;1;0;0;3864;557;-2;1; 3000-3999; 0-999
12;22.2.;13217;13217;3014;3014;13215;3012;3;2;2;2;2;0;0;13217;3014;2;2;13000-13999; 3000-3999
13;22.2.;2578;2578;2653;2653;2576;2651;2;2;2;2;2;0;0;2578;2653;2;2; 2000-2999; 2000-2999
14;22.2.;2091;2091;2217;2217;2090;2216;3;1;1;1;1;0;0;2091;2217;1;1; 2000-2999; 2000-2999
15;22.2.;4405;4405;2245;2245;4404;2243;3;1;1;2;2;0;0;4405;2245;1;2; 4000-4999; 2000-2999
16;22.2.;4483;4483;2211;2211;4482;2210;3;1;1;1;1;0;0;4483;2211;1;1; 4000-4999; 2000-2999
17;22.2.;2371;2371;2227;2227;2370;2225;3;1;1;2;2;0;0;2371;2227;1;2; 2000-2999; 2000-2999
18;22.2.;9303;9303;2579;2579;9302;2578;3;1;1;1;1;0;0;9303;2579;1;1; 9000-9999; 2000-2999
19;22.2.;10036;10036;2578;2578;10034;2576;3;2;2;2;2;0;0;10036;2578;2;2;10000-10999; 2000-2999
20;22.2.;10010;10010;2520;2519;10009;2518;3;1;1;2;1;0;1;10010;2519.5;1;1.5;10000-10999; 2000-2999
21;22.2.;9275;9275;2434;2434;9275;2432;3;0;0;2;2;0;0;9275;2434;0;2; 9000-9999; 2000-2999
22;22.2.;2001;2001;2001;2001;2000;2000;2;1;1;1;1;0;0;2001;2001;1;1; 2000-2999; 2000-2999
23;22.2.;9275;9275;2433;2433;9275;2432;3;0;0;1;1;0;0;9275;2433;0;1; 9000-9999; 2000-2999
24;23.2.;1702;1702;1802;1802;1700;1800;2;2;2;2;2;0;0;1702;1802;2;2; 1000-1999; 1000-1999
25;23.2.;1702;1702;1702;1702;1700;1700;2;2;2;2;2;0;0;1702;1702;2;2; 1000-1999; 1000-1999
26;23.2.;8475;8475;2520;2520;8474;2518;3;1;1;2;2;0;0;8475;2520;1;2; 8000-8999; 2000-2999
27;23.2.;2581;2581;2551;2551;2580;2550;2;1;1;1;1;0;0;2581;2551;1;1; 2000-2999; 2000-2999
28;23.2.;8465;8465;2521;2521;8465;2520;3;0;0;1;1;0;0;8465;2521;0;1; 8000-8999; 2000-2999
29;23.2.;8503;8504;2577;2577;8503;2576;3;0;1;1;1;-1;0;8503.5;2577;0.5;1; 8000-8999; 2000-2999
30;23.2.;1651;1651;3111;3111;1650;3110;2;1;1;1;1;0;0;1651;3111;1;1; 1000-1999; 3000-3999
31;23.2.;2577;2577;2433;2434;2577;2432;2;0;0;1;2;0;-1;2577;2433.5;0;1.5; 2000-2999; 2000-2999
32;23.2.;3864;3864;558;558;3864;556;3;0;0;2;2;0;0;3864;558;0;2; 3000-3999; 0-999
33;23.2.;3864;3864;558;558;3864;556;3;0;0;2;2;0;0;3864;558;0;2; 3000-3999; 0-999
34;23.2.;9285;9285;2519;2518;9285;2517;3;0;0;2;1;0;1;9285;2518.5;0;1.5; 9000-9999; 2000-2999
35;23.2.;3811;3811;2091;2091;3810;2090;3;1;1;1;1;0;0;3811;2091;1;1; 3000-3999; 2000-2999
36;23.2.;3810;3810;2090;2090;3810;2090;3;0;0;0;0;0;0;3810;2090;0;0; 3000-3999; 2000-2999
37;23.2.;10011;10011;2651;2651;10009;2650;2;2;2;1;1;0;0;10011;2651;2;1;10000-10999; 2000-2999
38;24.2.;8490;8490;2581;2581;8490;2580;3;0;0;1;1;0;0;8490;2581;0;1; 8000-8999; 2000-2999
39;24.2.;8466;8466;2551;2551;8465;2550;2;1;1;1;1;0;0;8466;2551;1;1; 8000-8999; 2000-2999
40;24.2.;8466;8466;2551;2551;8465;2550;3;1;1;1;1;0;0;8466;2551;1;1; 8000-8999; 2000-2999
41;24.2.;9040;9040;2519;2519;9039;2518;3;1;1;1;1;0;0;9040;2519;1;1; 9000-9999; 2000-2999
42;24.2.;10013;10012;2652;2651;10009;2650;1;4;3;2;1;1;1;10012.5;2651.5;3.5;1.5;10000-10999; 2000-2999
43;24.2.;8045;8045;961;961;8045;960;3;0;0;1;1;0;0;8045;961;0;1; 8000-8999; 0-999
44;24.2.;8109;8109;1886;1886;8109;1884;1;0;0;2;2;0;0;8109;1886;0;2; 8000-8999; 2000-2999
45;24.2.;9036;9036;2347;2347;9035;2346;2;1;1;1;1;0;0;9036;2347;1;1; 9000-9999; 2000-2999
46;24.2.;2576;2576;2347;2347;2576;2346;1;0;0;1;1;0;0;2576;2347;0;1; 2000-2999; 2000-2999
47;24.2.;9035;9035;2346;2346;9035;2346;3;0;0;0;0;0;0;9035;2346;0;0; 9000-9999; 2000-2999
